"firstName","lastName","nationality","id","code","name","type","abbreviation","Label"
"Tommy","Albelin","SWE",8444919,"D","Defenseman","Defenseman","D","Tommy Albelin"
"Dave","Andreychuk","CAN",8445000,"L","Left Wing","Forward","LW","Dave Andreychuk"
"Ed","Belfour","CAN",8445386,"G","Goalie","Goalie","G","Ed Belfour"
"Rob","Blake","CAN",8445550,"D","Defenseman","Defenseman","D","Rob Blake"
"Peter","Bondra","SVK",8445575,"R","Right Wing","Forward","RW","Peter Bondra"
"Rod","Brind'Amour","CAN",8445735,"C","Center","Forward","C","Rod Brind'Amour"
"Patrice","Brisebois","CAN",8445739,"D","Defenseman","Defenseman","D","Patrice Brisebois"
"Sean","Burke","CAN",8445769,"G","Goalie","Goalie","G","Sean Burke"
"Andrew","Cassels","CAN",8446003,"C","Center","Forward","C","Andrew Cassels"
"Chris","Chelios","USA",8446053,"D","Defenseman","Defenseman","D","Chris Chelios"
"Eric","Desjardins","CAN",8446407,"D","Defenseman","Defenseman","D","Eric Desjardins"
"Rob","DiMaio","CAN",8446408,"R","Right Wing","Forward","RW","Rob DiMaio"
"Tie","Domi","CAN",8446454,"R","Right Wing","Forward","RW","Tie Domi"
"Kris","Draper","CAN",8446485,"C","Center","Forward","C","Kris Draper"
"Sergei","Fedorov","RUS",8446788,"C","Center","Forward","C","Sergei Fedorov"
"Tom","Fitzgerald","USA",8446830,"R","Right Wing","Forward","RW","Tom Fitzgerald"
"Martin","Gelinas","CAN",8447091,"L","Left Wing","Forward","LW","Martin Gelinas"
"Dominik","Hasek","CZE",8447687,"G","Goalie","Goalie","G","Dominik Hasek"
"Bobby","Holik","CZE",8447958,"C","Center","Forward","C","Bobby Holik"
"Brett","Hull","USA",8448091,"R","Right Wing","Forward","RW","Brett Hull"
"Jaromir","Jagr","CZE",8448208,"R","Right Wing","Forward","RW","Jaromir Jagr"
"Curtis","Joseph","CAN",8448382,"G","Goalie","Goalie","G","Curtis Joseph"
"Olie","Kolzig","DEU",8448535,"G","Goalie","Goalie","G","Olie Kolzig"
"John","LeClair","USA",8448622,"L","Left Wing","Forward","LW","John LeClair"
"Brian","Leetch","USA",8448769,"D","Defenseman","Defenseman","D","Brian Leetch"
"Claude","Lemieux","CAN",8448772,"R","Right Wing","Forward","RW","Claude Lemieux"
"Mario","Lemieux","CAN",8448782,"C","Center","Forward","C","Mario Lemieux"
"Trevor","Linden","CAN",8448825,"C","Center","Forward","C","Trevor Linden"
"Bryan","Marchment","CAN",8449137,"D","Defenseman","Defenseman","D","Bryan Marchment"
"Scott","Mellanby","CAN",8449545,"R","Right Wing","Forward","RW","Scott Mellanby"
"Mike","Modano","USA",8449645,"C","Center","Forward","C","Mike Modano"
"Alexander","Mogilny","RUS",8449654,"R","Right Wing","Forward","RW","Alexander Mogilny"
"Petr","Nedved","CZE",8449807,"C","Center","Forward","C","Petr Nedved"
"Joe","Nieuwendyk","CAN",8449893,"C","Center","Forward","C","Joe Nieuwendyk"
"Owen","Nolan","CAN",8449895,"R","Right Wing","Forward","RW","Owen Nolan"
"Teppo","Numminen","FIN",8449924,"D","Defenseman","Defenseman","D","Teppo Numminen"
"Lyle","Odelein","CAN",8449957,"D","Defenseman","Defenseman","D","Lyle Odelein"
"Keith","Primeau","CAN",8450550,"C","Center","Forward","C","Keith Primeau"
"Mark","Recchi","CAN",8450725,"R","Right Wing","Forward","RW","Mark Recchi"
"Mike","Ricci","CAN",8450817,"C","Center","Forward","C","Mike Ricci"
"Luke","Richardson","CAN",8450824,"D","Defenseman","Defenseman","D","Luke Richardson"
"Gary","Roberts","CAN",8450900,"L","Left Wing","Forward","LW","Gary Roberts"
"Luc","Robitaille","CAN",8450941,"L","Left Wing","Forward","LW","Luc Robitaille"
"Jeremy","Roenick","USA",8450978,"C","Center","Forward","C","Jeremy Roenick"
"Joe","Sakic","CAN",8451101,"C","Center","Forward","C","Joe Sakic"
"Mathieu","Schneider","USA",8451224,"D","Defenseman","Defenseman","D","Mathieu Schneider"
"Brendan","Shanahan","CAN",8451302,"L","Left Wing","Forward","LW","Brendan Shanahan"
"Mike","Sillinger","CAN",8451359,"C","Center","Forward","C","Mike Sillinger"
"Mats","Sundin","SWE",8451774,"C","Center","Forward","C","Mats Sundin"
"Scott","Thornton","CAN",8451972,"L","Left Wing","Forward","LW","Scott Thornton"
"Pierre","Turgeon","CAN",8451991,"C","Center","Forward","C","Pierre Turgeon"
"Wes","Walz","CAN",8452285,"C","Center","Forward","C","Wes Walz"
"Eric","Weinrich","USA",8452353,"D","Defenseman","Defenseman","D","Eric Weinrich"
"Glen","Wesley","CAN",8452371,"D","Defenseman","Defenseman","D","Glen Wesley"
"Scott","Young","USA",8452569,"R","Right Wing","Forward","RW","Scott Young"
"Steve","Yzerman","CAN",8452578,"C","Center","Forward","C","Steve Yzerman"
"Tony","Amonte","USA",8455429,"R","Right Wing","Forward","RW","Tony Amonte"
"Stu","Barnes","CAN",8455521,"C","Center","Forward","C","Stu Barnes"
"Bob","Boughner","CAN",8455666,"D","Defenseman","Defenseman","D","Bob Boughner"
"Martin","Brodeur","CAN",8455710,"G","Goalie","Goalie","G","Martin Brodeur"
"Keith","Carney","USA",8455805,"D","Defenseman","Defenseman","D","Keith Carney"
"Craig","Conroy","USA",8455919,"C","Center","Forward","C","Craig Conroy"
"Jim","Dowd","USA",8456100,"C","Center","Forward","C","Jim Dowd"
"Dallas","Drake","CAN",8456106,"R","Right Wing","Forward","RW","Dallas Drake"
"Mike","Dunham","USA",8456137,"G","Goalie","Goalie","G","Mike Dunham"
"Adam","Foote","CAN",8456283,"D","Defenseman","Defenseman","D","Adam Foote"
"Travis","Green","CAN",8456430,"C","Center","Forward","C","Travis Green"
"Bill","Guerin","USA",8456464,"R","Right Wing","Forward","RW","Bill Guerin"
"Derian","Hatcher","USA",8456531,"D","Defenseman","Defenseman","D","Derian Hatcher"
"Bret","Hedican","USA",8456547,"D","Defenseman","Defenseman","D","Bret Hedican"
"Jamie","Heward","CAN",8456588,"D","Defenseman","Defenseman","D","Jamie Heward"
"Sean","Hill","USA",8456595,"D","Defenseman","Defenseman","D","Sean Hill"
"Greg","Johnson","CAN",8456734,"C","Center","Forward","C","Greg Johnson"
"Alexander","Karpovtsev","RUS",8456793,"D","Defenseman","Defenseman","D","Alexander Karpovtsev"
"Ken","Klee","USA",8456850,"D","Defenseman","Defenseman","D","Ken Klee"
"Jon","Klemm","CAN",8456852,"D","Defenseman","Defenseman","D","Jon Klemm"
"Vyacheslav","Kozlov","RUS",8456887,"L","Left Wing","Forward","LW","Vyacheslav Kozlov"
"Robert","Lang","CZE",8456966,"C","Center","Forward","C","Robert Lang"
"Nicklas","Lidstrom","SWE",8457063,"D","Defenseman","Defenseman","D","Nicklas Lidstrom"
"Vladimir","Malakhov","RUS",8457191,"D","Defenseman","Defenseman","D","Vladimir Malakhov"
"Jason","Marshall","CAN",8457222,"D","Defenseman","Defenseman","D","Jason Marshall"
"Brad","May","CAN",8457261,"L","Left Wing","Forward","LW","Brad May"
"Shawn","McEachern","USA",8457297,"L","Left Wing","Forward","LW","Shawn McEachern"
"Aaron","Miller","USA",8457384,"D","Defenseman","Defenseman","D","Aaron Miller"
"Jaroslav","Modry","CZE",8457403,"D","Defenseman","Defenseman","D","Jaroslav Modry"
"Ian","Moran","USA",8457421,"D","Defenseman","Defenseman","D","Ian Moran"
"Geoff","Sanderson","CAN",8457921,"L","Left Wing","Forward","LW","Geoff Sanderson"
"Teemu","Selanne","FIN",8457981,"R","Right Wing","Forward","RW","Teemu Selanne"
"Chris","Simon","CAN",8458031,"L","Left Wing","Forward","LW","Chris Simon"
"Jiri","Slegr","CZE",8458052,"D","Defenseman","Defenseman","D","Jiri Slegr"
"Bryan","Smolinski","USA",8458069,"C","Center","Forward","C","Bryan Smolinski"
"Garth","Snow","USA",8458075,"G","Goalie","Goalie","G","Garth Snow"
"Turner","Stevenson","CAN",8458125,"R","Right Wing","Forward","RW","Turner Stevenson"
"Darryl","Sydor","CAN",8458172,"D","Defenseman","Defenseman","D","Darryl Sydor"
"Tim","Taylor","CAN",8458192,"C","Center","Forward","C","Tim Taylor"
"Chris","Therien","CAN",8458202,"D","Defenseman","Defenseman","D","Chris Therien"
"Keith","Tkachuk","USA",8458229,"L","Left Wing","Forward","LW","Keith Tkachuk"
"Doug","Weight","USA",8458361,"C","Center","Forward","C","Doug Weight"
"Jason","Woolley","CAN",8458454,"D","Defenseman","Defenseman","D","Jason Woolley"
"Jason","York","CAN",8458468,"D","Defenseman","Defenseman","D","Jason York"
"Alexei","Zhamnov","RUS",8458487,"C","Center","Forward","C","Alexei Zhamnov"
"Sergei","Zubov","RUS",8458494,"D","Defenseman","Defenseman","D","Sergei Zubov"
"Eric","Lindros","CAN",8458515,"C","Center","Forward","C","Eric Lindros"
"Scott","Niedermayer","CAN",8458517,"D","Defenseman","Defenseman","D","Scott Niedermayer"
"Aaron","Ward","CAN",8458519,"D","Defenseman","Defenseman","D","Aaron Ward"
"Peter","Forsberg","SWE",8458520,"C","Center","Forward","C","Peter Forsberg"
"Richard","Matvichuk","CAN",8458522,"D","Defenseman","Defenseman","D","Richard Matvichuk"
"Martin","Lapointe","CAN",8458524,"R","Right Wing","Forward","RW","Martin Lapointe"
"Brian","Rolston","USA",8458525,"R","Right Wing","Forward","RW","Brian Rolston"
"Tyler","Wright","CAN",8458526,"C","Center","Forward","C","Tyler Wright"
"Philippe","Boucher","CAN",8458527,"D","Defenseman","Defenseman","D","Philippe Boucher"
"Alex","Kovalev","RUS",8458529,"R","Right Wing","Forward","RW","Alex Kovalev"
"Markus","Naslund","SWE",8458530,"L","Left Wing","Forward","LW","Markus Naslund"
"Glen","Murray","CAN",8458532,"R","Right Wing","Forward","RW","Glen Murray"
"Martin","Rucinsky","CZE",8458534,"L","Left Wing","Forward","LW","Martin Rucinsky"
"Dean","McAmmond","CAN",8458536,"C","Center","Forward","C","Dean McAmmond"
"Ray","Whitney","CAN",8458537,"L","Left Wing","Forward","LW","Ray Whitney"
"Ziggy","Palffy","SVK",8458540,"R","Right Wing","Forward","RW","Ziggy Palffy"
"Steve","Staios","CAN",8458541,"D","Defenseman","Defenseman","D","Steve Staios"
"Jim","Campbell","USA",8458542,"R","Right Wing","Forward","RW","Jim Campbell"
"Jassen","Cullimore","CAN",8458543,"D","Defenseman","Defenseman","D","Jassen Cullimore"
"Sandis","Ozolinsh","LVA",8458544,"D","Defenseman","Defenseman","D","Sandis Ozolinsh"
"Jamie","Pushor","CAN",8458546,"D","Defenseman","Defenseman","D","Jamie Pushor"
"Jozef","Stumpel","SVK",8458554,"L","Left Wing","Forward","LW","Jozef Stumpel"
"Yanic","Perreault","CAN",8458561,"C","Center","Forward","C","Yanic Perreault"
"Jamie","McLennan","CAN",8458562,"G","Goalie","Goalie","G","Jamie McLennan"
"Chris","Osgood","CAN",8458568,"G","Goalie","Goalie","G","Chris Osgood"
"Steve","Konowalchuk","USA",8458572,"L","Left Wing","Forward","LW","Steve Konowalchuk"
"Michael","Nylander","SWE",8458573,"C","Center","Forward","C","Michael Nylander"
"Mike","Knuble","USA",8458590,"R","Right Wing","Forward","RW","Mike Knuble"
"Alexei","Zhitnik","RUS",8458595,"D","Defenseman","Defenseman","D","Alexei Zhitnik"
"Steve","Shields","CAN",8458615,"G","Goalie","Goalie","G","Steve Shields"
"Mariusz","Czerkawski","POL",8458620,"R","Right Wing","Forward","RW","Mariusz Czerkawski"
"Sean","O'Donnell","CAN",8458637,"D","Defenseman","Defenseman","D","Sean O'Donnell"
"David","Oliver","CAN",8458658,"R","Right Wing","Forward","RW","David Oliver"
"Brian","Savage","CAN",8458682,"L","Left Wing","Forward","LW","Brian Savage"
"Igor","Ulanov","RUS",8458715,"D","Defenseman","Defenseman","D","Igor Ulanov"
"Steve","Poapst","CAN",8458838,"D","Defenseman","Defenseman","D","Steve Poapst"
"Cory","Cross","CAN",8458929,"D","Defenseman","Defenseman","D","Cory Cross"
"Roman","Hamrlik","CZE",8458938,"D","Defenseman","Defenseman","D","Roman Hamrlik"
"Alexei","Yashin","RUS",8458939,"C","Center","Forward","C","Alexei Yashin"
"Mike","Rathje","CAN",8458940,"D","Defenseman","Defenseman","D","Mike Rathje"
"Darius","Kasparaitis","RUS",8458942,"D","Defenseman","Defenseman","D","Darius Kasparaitis"
"Cory","Stillman","CAN",8458943,"L","Left Wing","Forward","LW","Cory Stillman"
"Andrei","Nazarov","RUS",8458947,"L","Left Wing","Forward","LW","Andrei Nazarov"
"Sergei","Gonchar","RUS",8458951,"D","Defenseman","Defenseman","D","Sergei Gonchar"
"Jason","Smith","CAN",8458954,"D","Defenseman","Defenseman","D","Jason Smith"
"Martin","Straka","CZE",8458955,"C","Center","Forward","C","Martin Straka"
"Grant","Marshall","CAN",8458959,"R","Right Wing","Forward","RW","Grant Marshall"
"Michael","Peca","CAN",8458976,"C","Center","Forward","C","Michael Peca"
"Sergei","Brylin","RUS",8458978,"L","Left Wing","Forward","LW","Sergei Brylin"
"Darren","McCarty","CAN",8458982,"R","Right Wing","Forward","RW","Darren McCarty"
"Mattias","Norstrom","SWE",8458984,"D","Defenseman","Defenseman","D","Mattias Norstrom"
"Patrick","Traverse","CAN",8458986,"D","Defenseman","Defenseman","D","Patrick Traverse"
"Manny","Fernandez","CAN",8458988,"G","Goalie","Goalie","G","Manny Fernandez"
"Jeremy","Stevenson","USA",8458996,"L","Left Wing","Forward","LW","Jeremy Stevenson"
"Kirk","Maltby","CAN",8459001,"L","Left Wing","Forward","LW","Kirk Maltby"
"Cale","Hulse","CAN",8459002,"D","Defenseman","Defenseman","D","Cale Hulse"
"Craig","Rivet","CAN",8459004,"D","Defenseman","Defenseman","D","Craig Rivet"
"Eric","Cairns","CAN",8459008,"D","Defenseman","Defenseman","D","Eric Cairns"
"Aaron","Gavey","CAN",8459010,"C","Center","Forward","C","Aaron Gavey"
"Matthew","Barnaby","CAN",8459019,"R","Right Wing","Forward","RW","Matthew Barnaby"
"Jere","Lehtinen","FIN",8459024,"R","Right Wing","Forward","RW","Jere Lehtinen"
"Adrian","Aucoin","CAN",8459053,"D","Defenseman","Defenseman","D","Adrian Aucoin"
"Derek","Armstrong","CAN",8459064,"C","Center","Forward","C","Derek Armstrong"
"Joel","Bouchard","CAN",8459065,"D","Defenseman","Defenseman","D","Joel Bouchard"
"Rem","Murray","CAN",8459071,"L","Left Wing","Forward","LW","Rem Murray"
"Ken","Belanger","CAN",8459089,"L","Left Wing","Forward","LW","Ken Belanger"
"Ian","Laperriere","CAN",8459094,"R","Right Wing","Forward","RW","Ian Laperriere"
"Ryan","Vandenbussche","CAN",8459109,"R","Right Wing","Forward","RW","Ryan Vandenbussche"
"Stephane","Yelle","CAN",8459122,"C","Center","Forward","C","Stephane Yelle"
"Nikolai","Khabibulin","RUS",8459140,"G","Goalie","Goalie","G","Nikolai Khabibulin"
"Anson","Carter","CAN",8459156,"R","Right Wing","Forward","RW","Anson Carter"
"Dan","McGillis","CAN",8459174,"D","Defenseman","Defenseman","D","Dan McGillis"
"Nathan","Dempsey","CAN",8459181,"D","Defenseman","Defenseman","D","Nathan Dempsey"
"Pascal","Rheaume","CAN",8459223,"C","Center","Forward","C","Pascal Rheaume"
"Donald","Brashear","USA",8459246,"L","Left Wing","Forward","LW","Donald Brashear"
"Steve","Rucchin","CAN",8459284,"C","Center","Forward","C","Steve Rucchin"
"Manny","Legace","CAN",8459308,"G","Goalie","Goalie","G","Manny Legace"
"Darren","Langdon","CAN",8459391,"L","Left Wing","Forward","LW","Darren Langdon"
"Bryan","Helmer","CAN",8459406,"D","Defenseman","Defenseman","D","Bryan Helmer"
"Alexandre","Daigle","CAN",8459423,"R","Right Wing","Forward","RW","Alexandre Daigle"
"Chris","Pronger","CAN",8459424,"D","Defenseman","Defenseman","D","Chris Pronger"
"Chris","Gratton","CAN",8459425,"C","Center","Forward","C","Chris Gratton"
"Paul","Kariya","CAN",8459426,"L","Left Wing","Forward","LW","Paul Kariya"
"Rob","Niedermayer","CAN",8459427,"C","Center","Forward","C","Rob Niedermayer"
"Viktor","Kozlov","RUS",8459428,"C","Center","Forward","C","Viktor Kozlov"
"Jason","Arnott","CAN",8459429,"C","Center","Forward","C","Jason Arnott"
"Niklas","Sundstrom","SWE",8459430,"R","Right Wing","Forward","RW","Niklas Sundstrom"
"Todd","Harvey","CAN",8459431,"R","Right Wing","Forward","RW","Todd Harvey"
"Jocelyn","Thibault","CAN",8459432,"G","Goalie","Goalie","G","Jocelyn Thibault"
"Brendan","Witt","CAN",8459433,"D","Defenseman","Defenseman","D","Brendan Witt"
"Jason","Allison","CAN",8459439,"C","Center","Forward","C","Jason Allison"
"Landon","Wilson","USA",8459441,"R","Right Wing","Forward","RW","Landon Wilson"
"Saku","Koivu","FIN",8459442,"C","Center","Forward","C","Saku Koivu"
"Anders","Eriksson","SWE",8459443,"D","Defenseman","Defenseman","D","Anders Eriksson"
"Todd","Bertuzzi","CAN",8459444,"R","Right Wing","Forward","RW","Todd Bertuzzi"
"Kevyn","Adams","USA",8459446,"C","Center","Forward","C","Kevyn Adams"
"Shean","Donovan","CAN",8459450,"R","Right Wing","Forward","RW","Shean Donovan"
"Jay","Pandolfo","USA",8459454,"L","Left Wing","Forward","LW","Jay Pandolfo"
"David","Vyborny","CZE",8459455,"R","Right Wing","Forward","RW","David Vyborny"
"Jamie","Langenbrunner","USA",8459457,"R","Right Wing","Forward","RW","Jamie Langenbrunner"
"Janne","Niinimaa","FIN",8459458,"D","Defenseman","Defenseman","D","Janne Niinimaa"
"Brendan","Morrison","CAN",8459461,"C","Center","Forward","C","Brendan Morrison"
"Bryan","McCabe","CAN",8459462,"D","Defenseman","Defenseman","D","Bryan McCabe"
"Kevin","Weekes","CAN",8459463,"G","Goalie","Goalie","G","Kevin Weekes"
"Jamie","Allison","CAN",8459466,"D","Defenseman","Defenseman","D","Jamie Allison"
"Rory","Fitzpatrick","USA",8459469,"D","Defenseman","Defenseman","D","Rory Fitzpatrick"
"Ville","Peltonen","FIN",8459479,"L","Left Wing","Forward","LW","Ville Peltonen"
"Jamie","Rivers","CAN",8459484,"D","Defenseman","Defenseman","D","Jamie Rivers"
"Krzysztof","Oliwa","POL",8459486,"L","Left Wing","Forward","LW","Krzysztof Oliwa"
"Vinny","Prospal","CZE",8459492,"L","Left Wing","Forward","LW","Vinny Prospal"
"Marek","Malik","CZE",8459493,"D","Defenseman","Defenseman","D","Marek Malik"
"Jamal","Mayers","CAN",8459514,"R","Right Wing","Forward","RW","Jamal Mayers"
"Eric","Daze","CAN",8459515,"L","Left Wing","Forward","LW","Eric Daze"
"Marty","Murray","CAN",8459521,"C","Center","Forward","C","Marty Murray"
"Shawn","Bates","USA",8459527,"C","Center","Forward","C","Shawn Bates"
"Miroslav","Satan","SVK",8459534,"R","Right Wing","Forward","RW","Miroslav Satan"
"Nolan","Pratt","CAN",8459538,"D","Defenseman","Defenseman","D","Nolan Pratt"
"Scott","Walker","CAN",8459547,"R","Right Wing","Forward","RW","Scott Walker"
"Alain","Nasreddine","CAN",8459558,"D","Defenseman","Defenseman","D","Alain Nasreddine"
"Andreas","Karlsson","SWE",8459571,"C","Center","Forward","C","Andreas Karlsson"
"Darcy","Tucker","CAN",8459574,"R","Right Wing","Forward","RW","Darcy Tucker"
"Patrick","Lalime","CAN",8459579,"G","Goalie","Goalie","G","Patrick Lalime"
"Todd","Marchant","USA",8459587,"C","Center","Forward","C","Todd Marchant"
"Andrew","Brunette","CAN",8459596,"L","Left Wing","Forward","LW","Andrew Brunette"
"Paul","Healey","CAN",8459614,"R","Right Wing","Forward","RW","Paul Healey"
"Eric","Boguniecki","USA",8459615,"C","Center","Forward","C","Eric Boguniecki"
"Hal","Gill","USA",8459628,"D","Defenseman","Defenseman","D","Hal Gill"
"Brad","Norton","USA",8459636,"D","Defenseman","Defenseman","D","Brad Norton"
"Mike","Grier","USA",8459640,"R","Right Wing","Forward","RW","Mike Grier"
"Pavol","Demitra","SVK",8459648,"R","Right Wing","Forward","RW","Pavol Demitra"
"Kimmo","Timonen","FIN",8459670,"D","Defenseman","Defenseman","D","Kimmo Timonen"
"Scott","Nichol","CAN",8459687,"C","Center","Forward","C","Scott Nichol"
"Scott","Ferguson","CAN",8460051,"D","Defenseman","Defenseman","D","Scott Ferguson"
"Radek","Bonk","CZE",8460105,"C","Center","Forward","C","Radek Bonk"
"Greg","De Vries","CAN",8460254,"D","Defenseman","Defenseman","D","Greg De Vries"
"Petr","Sykora","CZE",8460465,"R","Right Wing","Forward","RW","Petr Sykora"
"Steve","Martins","CAN",8460484,"C","Center","Forward","C","Steve Martins"
"Ed","Jovanovski","CAN",8460492,"D","Defenseman","Defenseman","D","Ed Jovanovski"
"Oleg","Tverdovsky","RUS",8460493,"D","Defenseman","Defenseman","D","Oleg Tverdovsky"
"Jeff","O'Neill","CAN",8460495,"C","Center","Forward","C","Jeff O'Neill"
"Ryan","Smyth","CAN",8460496,"L","Left Wing","Forward","LW","Ryan Smyth"
"Jason","Wiemer","CAN",8460498,"C","Center","Forward","C","Jason Wiemer"
"Nolan","Baumgartner","CAN",8460500,"D","Defenseman","Defenseman","D","Nolan Baumgartner"
"Jeff","Friesen","CAN",8460501,"L","Left Wing","Forward","LW","Jeff Friesen"
"Wade","Belak","CAN",8460502,"R","Right Wing","Forward","RW","Wade Belak"
"Mattias","Ohlund","SWE",8460503,"D","Defenseman","Defenseman","D","Mattias Ohlund"
"Ethan","Moreau","CAN",8460504,"L","Left Wing","Forward","LW","Ethan Moreau"
"Wayne","Primeau","CAN",8460507,"C","Center","Forward","C","Wayne Primeau"
"Chris","Dingman","CAN",8460509,"L","Left Wing","Forward","LW","Chris Dingman"
"Dan","Cloutier","CAN",8460516,"G","Goalie","Goalie","G","Dan Cloutier"
"Rhett","Warrener","CAN",8460517,"D","Defenseman","Defenseman","D","Rhett Warrener"
"Deron","Quint","USA",8460521,"D","Defenseman","Defenseman","D","Deron Quint"
"Ryan","Johnson","CAN",8460527,"C","Center","Forward","C","Ryan Johnson"
"Dave","Scatchard","CAN",8460533,"C","Center","Forward","C","Dave Scatchard"
"Curtis","Brown","CAN",8460534,"C","Center","Forward","C","Curtis Brown"
"Jose","Theodore","CAN",8460535,"G","Goalie","Goalie","G","Jose Theodore"
"Mathieu","Dandenault","CAN",8460540,"R","Right Wing","Forward","RW","Mathieu Dandenault"
"Richard","Park","USA",8460541,"R","Right Wing","Forward","RW","Richard Park"
"Patrik","Elias","CZE",8460542,"C","Center","Forward","C","Patrik Elias"
"Sven","Butenschon","DEU",8460548,"D","Defenseman","Defenseman","D","Sven Butenschon"
"Jason","Strudwick","CAN",8460555,"D","Defenseman","Defenseman","D","Jason Strudwick"
"Freddy","Modin","SWE",8460556,"L","Left Wing","Forward","LW","Freddy Modin"
"Sheldon","Souray","CAN",8460561,"D","Defenseman","Defenseman","D","Sheldon Souray"
"Chris","Drury","USA",8460562,"C","Center","Forward","C","Chris Drury"
"Chris","Clark","USA",8460567,"R","Right Wing","Forward","RW","Chris Clark"
"Milan","Hejduk","CZE",8460577,"R","Right Wing","Forward","RW","Milan Hejduk"
"Vaclav","Varada","CZE",8460579,"R","Right Wing","Forward","RW","Vaclav Varada"
"Brad","Lukowich","CAN",8460580,"D","Defenseman","Defenseman","D","Brad Lukowich"
"Eric","Nickulas","USA",8460588,"R","Right Wing","Forward","RW","Eric Nickulas"
"Nisse","Ekman","SWE",8460595,"R","Right Wing","Forward","RW","Nisse Ekman"
"Marty","Turco","CAN",8460612,"G","Goalie","Goalie","G","Marty Turco"
"Bates","Battaglia","USA",8460620,"L","Left Wing","Forward","LW","Bates Battaglia"
"Daniel","Alfredsson","SWE",8460621,"R","Right Wing","Forward","RW","Daniel Alfredsson"
"Bryce","Salvador","CAN",8460626,"D","Defenseman","Defenseman","D","Bryce Salvador"
"Andre","Roy","USA",8460639,"R","Right Wing","Forward","RW","Andre Roy"
"Serge","Aubin","CAN",8460649,"C","Center","Forward","C","Serge Aubin"
"Colin","Forbes","CAN",8460654,"L","Left Wing","Forward","LW","Colin Forbes"
"Shane","Hnidy","CAN",8460661,"D","Defenseman","Defenseman","D","Shane Hnidy"
"Frederic","Cassivi","CAN",8460696,"G","Goalie","Goalie","G","Frederic Cassivi"
"Tim","Thomas","USA",8460703,"G","Goalie","Goalie","G","Tim Thomas"
"Johan","Hedberg","SWE",8460704,"G","Goalie","Goalie","G","Johan Hedberg"
"Evgeni","Nabokov","RUS",8460705,"G","Goalie","Goalie","G","Evgeni Nabokov"
"Tomas","Vokoun","CZE",8460712,"G","Goalie","Goalie","G","Tomas Vokoun"
"John","Grahame","USA",8460715,"G","Goalie","Goalie","G","John Grahame"
"Steve","Sullivan","CAN",8460719,"L","Left Wing","Forward","LW","Steve Sullivan"
"Eric","Boulton","CAN",8460720,"L","Left Wing","Forward","LW","Eric Boulton"
"Tyson","Nash","CAN",8460733,"L","Left Wing","Forward","LW","Tyson Nash"
"Richard","Zednik","SVK",8460735,"R","Right Wing","Forward","RW","Richard Zednik"
"Tomas","Holmstrom","SWE",8460743,"L","Left Wing","Forward","LW","Tomas Holmstrom"
"Dick","Tarnstrom","SWE",8460757,"D","Defenseman","Defenseman","D","Dick Tarnstrom"
"Kim","Johnsson","SWE",8460770,"D","Defenseman","Defenseman","D","Kim Johnsson"
"Todd","Simpson","CAN",8460782,"D","Defenseman","Defenseman","D","Todd Simpson"
"Dwayne","Roloson","CAN",8460806,"G","Goalie","Goalie","G","Dwayne Roloson"
"Doug","Doull","CAN",8460931,"L","Left Wing","Forward","LW","Doug Doull"
"Bryan","Berard","USA",8462032,"D","Defenseman","Defenseman","D","Bryan Berard"
"Wade","Redden","CAN",8462033,"D","Defenseman","Defenseman","D","Wade Redden"
"Aki","Berg","FIN",8462034,"D","Defenseman","Defenseman","D","Aki Berg"
"Chad","Kilger","CAN",8462035,"L","Left Wing","Forward","LW","Chad Kilger"
"Daymond","Langkow","CAN",8462036,"C","Center","Forward","C","Daymond Langkow"
"Steve","Kelly","CAN",8462037,"C","Center","Forward","C","Steve Kelly"
"Shane","Doan","CAN",8462038,"R","Right Wing","Forward","RW","Shane Doan"
"Kyle","McLaren","CAN",8462040,"D","Defenseman","Defenseman","D","Kyle McLaren"
"Radek","Dvorak","CZE",8462041,"R","Right Wing","Forward","RW","Radek Dvorak"
"Jarome","Iginla","CAN",8462042,"R","Right Wing","Forward","RW","Jarome Iginla"
"Jean-Sebastien","Giguere","CAN",8462044,"G","Goalie","Goalie","G","Jean-Sebastien Giguere"
"Jay","McKee","CAN",8462045,"D","Defenseman","Defenseman","D","Jay McKee"
"Martin","Biron","CAN",8462047,"G","Goalie","Goalie","G","Martin Biron"
"Denis","Gauthier","CAN",8462050,"D","Defenseman","Defenseman","D","Denis Gauthier"
"Sean","Brown","CAN",8462051,"D","Defenseman","Defenseman","D","Sean Brown"
"Brian","Boucher","USA",8462052,"G","Goalie","Goalie","G","Brian Boucher"
"Marc","Denis","CAN",8462055,"G","Goalie","Goalie","G","Marc Denis"
"Georges","Laraque","CAN",8462060,"R","Right Wing","Forward","RW","Georges Laraque"
"Marc","Chouinard","CAN",8462061,"C","Center","Forward","C","Marc Chouinard"
"Donald","MacLean","CAN",8462062,"C","Center","Forward","C","Donald MacLean"
"Nathan","Perrott","CAN",8462072,"R","Right Wing","Forward","RW","Nathan Perrott"
"Jochen","Hecht","DEU",8462077,"C","Center","Forward","C","Jochen Hecht"
"Jan","Hlavac","CZE",8462081,"L","Left Wing","Forward","LW","Jan Hlavac"
"Brad","Larsen","CAN",8462082,"L","Left Wing","Forward","LW","Brad Larsen"
"Mike","Leclerc","CAN",8462084,"L","Left Wing","Forward","LW","Mike Leclerc"
