"firstName","lastName","nationality","id","code","name","type","abbreviation","Label"
"Joonas","Nattinen","FIN",8475198,"C","Center","Forward","C","Joonas Nattinen"
"Eric","Gelinas","CAN",8475199,"D","Defenseman","Defenseman","D","Eric Gelinas"
"Dmitry","Orlov","RUS",8475200,"D","Defenseman","Defenseman","D","Dmitry Orlov"
"Jesse","Blacker","CAN",8475203,"D","Defenseman","Defenseman","D","Jesse Blacker"
"Brandon","Pirri","CAN",8475204,"C","Center","Forward","C","Brandon Pirri"
"Stefan","Elliott","CAN",8475206,"D","Defenseman","Defenseman","D","Stefan Elliott"
"Brian","Dumoulin","USA",8475208,"D","Defenseman","Defenseman","D","Brian Dumoulin"
"Richard","Panik","SVK",8475209,"R","Right Wing","Forward","RW","Richard Panik"
"Anton","Rodin","SWE",8475210,"R","Right Wing","Forward","RW","Anton Rodin"
"Drew","Shore","USA",8475213,"C","Center","Forward","C","Drew Shore"
"Jeremy","Morin","USA",8475214,"L","Left Wing","Forward","LW","Jeremy Morin"
"Robin","Lehner","SWE",8475215,"G","Goalie","Goalie","G","Robin Lehner"
"Mattias","Ekholm","SWE",8475218,"D","Defenseman","Defenseman","D","Mattias Ekholm"
"Kristopher","Foucault","CAN",8475219,"L","Left Wing","Forward","LW","Kristopher Foucault"
"Marcus","Foligno","CAN",8475220,"L","Left Wing","Forward","LW","Marcus Foligno"
"Sami","Vatanen","FIN",8475222,"D","Defenseman","Defenseman","D","Sami Vatanen"
"Linden","Vey","CAN",8475223,"R","Right Wing","Forward","RW","Linden Vey"
"Jordan","Szwarz","CAN",8475224,"R","Right Wing","Forward","RW","Jordan Szwarz"
"Craig","Smith","USA",8475225,"C","Center","Forward","C","Craig Smith"
"Chris","Wideman","USA",8475227,"D","Defenseman","Defenseman","D","Chris Wideman"
"Casey","Cizikas","CAN",8475231,"C","Center","Forward","C","Casey Cizikas"
"David","Savard","CAN",8475233,"D","Defenseman","Defenseman","D","David Savard"
"J-F","Berube","CAN",8475234,"G","Goalie","Goalie","G","J-F Berube"
"Nicolas","Deslauriers","CAN",8475235,"L","Left Wing","Forward","LW","Nicolas Deslauriers"
"Cody","Eakin","CAN",8475236,"C","Center","Forward","C","Cody Eakin"
"Ryan","Bourque","USA",8475243,"C","Center","Forward","C","Ryan Bourque"
"Kevin","Connauton","CAN",8475246,"D","Defenseman","Defenseman","D","Kevin Connauton"
"Michael","Latta","CAN",8475247,"C","Center","Forward","C","Michael Latta"
"Alexander","Urbom","SWE",8475248,"D","Defenseman","Defenseman","D","Alexander Urbom"
"Andrej","Nestrasil","CZE",8475250,"C","Center","Forward","C","Andrej Nestrasil"
"Matt","Hackett","CAN",8475252,"G","Goalie","Goalie","G","Matt Hackett"
"Garrett","Wilson","CAN",8475253,"L","Left Wing","Forward","LW","Garrett Wilson"
"Gabriel","Dumont","CAN",8475254,"C","Center","Forward","C","Gabriel Dumont"
"Corban","Knight","CAN",8475260,"C","Center","Forward","C","Corban Knight"
"Wade","Megan","USA",8475263,"C","Center","Forward","C","Wade Megan"
"Roman","Horak","CZE",8475264,"C","Center","Forward","C","Roman Horak"
"Tomas","Vincour","CZE",8475266,"C","Center","Forward","C","Tomas Vincour"
"Gabriel","Bourque","CAN",8475268,"L","Left Wing","Forward","LW","Gabriel Bourque"
"Anton","Klementyev","RUS",8475270,"D","Defenseman","Defenseman","D","Anton Klementyev"
"Seth","Helgeson","USA",8475274,"D","Defenseman","Defenseman","D","Seth Helgeson"
"Patrick","Wey","USA",8475275,"D","Defenseman","Defenseman","D","Patrick Wey"
"Edward","Pasquale","CAN",8475277,"G","Goalie","Goalie","G","Edward Pasquale"
"Byron","Froese","CAN",8475278,"C","Center","Forward","C","Byron Froese"
"Ben","Chiarot","CAN",8475279,"D","Defenseman","Defenseman","D","Ben Chiarot"
"Lane","MacDermid","USA",8475283,"L","Left Wing","Forward","LW","Lane MacDermid"
"Erik","Haula","FIN",8475287,"L","Left Wing","Forward","LW","Erik Haula"
"Garrett","Mitchell","CAN",8475291,"R","Right Wing","Forward","RW","Garrett Mitchell"
"Tyler","Randell","CAN",8475292,"R","Right Wing","Forward","RW","Tyler Randell"
"Rasmus","Rissanen","FIN",8475294,"D","Defenseman","Defenseman","D","Rasmus Rissanen"
"Brandon","Kozun","USA",8475295,"R","Right Wing","Forward","RW","Brandon Kozun"
"Mitch","Callahan","USA",8475296,"R","Right Wing","Forward","RW","Mitch Callahan"
"Joni","Ortio","FIN",8475299,"G","Goalie","Goalie","G","Joni Ortio"
"Connor","Knapp","USA",8475303,"G","Goalie","Goalie","G","Connor Knapp"
"Scott","Timmins","CAN",8475304,"C","Center","Forward","C","Scott Timmins"
"Jerry","D'Amigo","USA",8475309,"R","Right Wing","Forward","RW","Jerry D'Amigo"
"Curtis","McKenzie","CAN",8475310,"L","Left Wing","Forward","LW","Curtis McKenzie"
"Darcy","Kuemper","CAN",8475311,"G","Goalie","Goalie","G","Darcy Kuemper"
"Anders","Lee","USA",8475314,"C","Center","Forward","C","Anders Lee"
"Phil","Varone","CAN",8475321,"C","Center","Forward","C","Phil Varone"
"Marcus","Kruger","SWE",8475323,"C","Center","Forward","C","Marcus Kruger"
"Nick","Jensen","USA",8475324,"D","Defenseman","Defenseman","D","Nick Jensen"
"Jordan","Nolan","CAN",8475325,"C","Center","Forward","C","Jordan Nolan"
"Ben","Sexton","CAN",8475328,"C","Center","Forward","C","Ben Sexton"
"Adam","Almquist","SWE",8475332,"D","Defenseman","Defenseman","D","Adam Almquist"
"Oliver","Lauridsen","DNK",8475342,"D","Defenseman","Defenseman","D","Oliver Lauridsen"
"Nic","Dowd","USA",8475343,"C","Center","Forward","C","Nic Dowd"
"Jonas","Gustavsson","SWE",8475361,"G","Goalie","Goalie","G","Jonas Gustavsson"
"Andreas","Engqvist","SWE",8475372,"C","Center","Forward","C","Andreas Engqvist"
"Mika","Pyorala","FIN",8475381,"C","Center","Forward","C","Mika Pyorala"
"Matthew","Konan","USA",8475395,"D","Defenseman","Defenseman","D","Matthew Konan"
"Justin","Dowling","CAN",8475413,"C","Center","Forward","C","Justin Dowling"
"Craig","Cunningham","CAN",8475414,"L","Left Wing","Forward","LW","Craig Cunningham"
"Darren","Archibald","CAN",8475423,"R","Right Wing","Forward","RW","Darren Archibald"
"Brandon","Manning","CAN",8475430,"D","Defenseman","Defenseman","D","Brandon Manning"
"Henrik","Karlsson","SWE",8475431,"G","Goalie","Goalie","G","Henrik Karlsson"
